ds,yhat,yhat_lower,yhat_upper
2026-03-01,4715487.39218625,4313941.716499243,5138300.243813034
2026-04-01,4859040.002260938,4444357.176297632,5289213.470022411
2026-05-01,5403987.719387615,4984878.627552496,5876050.037639888
2026-06-01,5414393.481627319,4980219.376164718,5849944.688560008
2026-07-01,5280943.293916935,4809174.923619805,5737551.643953263
2026-08-01,5015702.130194612,4516923.401274067,5491470.120337107
2026-09-01,4622768.248590358,4119482.857152827,5107404.357710952
2026-10-01,5501597.1709765205,4895689.4313701,6071330.83099774
2026-11-01,7852433.376519294,7010044.242255961,8668910.901150133
2026-12-01,7171864.739618653,6296269.51487982,7962541.0055183675
2027-01-01,4389985.524576916,3653818.4671622748,4983293.621544626
2027-02-01,4487342.435382275,3741884.8141832026,5161165.399391521
